Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Beta-carotene (µg),Folate (µg),Lutein+Zeaxanthin (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2020/7/11,08:41 PM,Dinner,"Kale, Raw","1.00 cup, chopped",7.35,0,0,18.83,0.02,0.07,0.25,0.08,0.03,0,603.52,13.02,1315.22,1010.84,19.62,0,0.14,81.84,53.36,0.01,0.34,6.93,0.19,11.55,73.1,0.19,11.13,0.08,0.93,0.86,0,0.21,0.07,0.31,0,0.02,0.14,0.04,0,0.08,0.06,0.01,0.04,0.04,0.04,0.04,0.01,0.03,0.61,0.03,0.01,0.02,0.03,Vegetables and Vegetable Products
2020/7/11,08:42 PM,Dinner,"Basil, Fresh",2.00 leaf,0.23,0,0,0.92,0,0,0.01,0,0,0,31.42,0.68,56.5,52.75,0.18,0,0.01,4.15,1.77,0,0.03,0.64,0.01,0.56,2.95,0,0.04,0.01,0.03,0.02,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,Vegetables and Vegetable Products
2020/7/11,08:42 PM,Dinner,"Organics, Romaine,Lettuce, Fresh Hearts",2.00 x 6.0 Each,40,0,,,,,,,,,,,,2000,4.8,,,,40,,0.72,,,,280,,0,,6,2,,4,4,1,0,,,0,0,,,,,,,,,,2,,,,,Vegetables and Vegetable Products
2020/7/11,08:42 PM,Dinner,"Cheese Ravioli, No Sauce","10.00 each - 1 3/4"" square",253.01,0,0,93.75,0.31,0.43,2.25,0.75,0.1,0.69,23.19,90.83,111.99,379.56,0.07,28.62,0.36,0.76,136.24,0.07,2.1,20.63,0.27,170.34,174.5,23.22,975.98,0.87,32.29,1.14,26.84,1.36,31.16,8.64,133.05,2.62,0.81,4.38,0.18,0.06,0.66,0.17,0.29,0.47,0.88,0.69,0.24,0.51,10.6,0.39,0.12,0.42,0.54,Cereal Grains and Pasta
2020/7/11,08:43 PM,Dinner,"Fennel Bulb, Raw",0.40 cup,42.14,0,0,122.64,0.01,0.04,0.87,0.32,0.06,0,785.79,36.71,825.21,1309.19,16.31,0,0.79,85.38,66.62,0.09,0.99,23.11,0.26,67.97,562.83,0.95,70.69,0.27,9.92,4.21,0.29,5.34,5.71,0.27,0,0.09,0.23,0.12,0,0,0,0.01,0.03,0.05,0.08,0.07,0.01,0.05,1.69,0.05,0.02,0.02,0.07,Vegetables and Vegetable Products
2020/7/11,08:44 PM,Dinner,"Chocolate Chip Cookies, Homemade","2.00 each - approx 2 1/4"" diameter",150.91,0.04,5.62,4.03,0.07,0.06,0.49,0.09,0.01,0.04,9.86,17.88,12.4,165.14,0,6.13,0.2,0.96,10.56,0.08,0.7,12.88,0.13,26.3,52.07,3.88,141.1,0.23,19.88,0.76,5.76,13.27,19.12,7.99,22.96,2.29,0.34,4.82,0.2,0.03,0.28,0.03,0.03,0.06,0.11,0.06,0.03,0.08,1.55,0.05,0.02,0.05,0.08,Baked Products
2020/7/11,08:44 PM,Dinner,Nestle Toll House Chocolate Chips,5.00 Tablespoon,350,,,,,,,,,,,,,,,,,,,,,,,,,,0,,45,,,40,45,20,0,,,12.5,,,,,,,,,,,,,,,,Sweets
2020/7/11,08:44 PM,Dinner,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",1.00 cup,73.96,0,0,225.9,0.07,0.51,0.17,0.08,0.1,3,2.15,24.55,0,499.99,0.73,120.04,0.15,8.26,300,0.17,1.08,40,0.35,105.35,300,5.6,84.95,0.6,3.59,2.58,0,1.02,1.01,3.86,0,0.85,2.18,0.56,0,0.26,1.89,0.11,0.19,0.35,0.58,0.48,0.1,0.37,7.83,0.31,0.1,0.27,0.36,Beverages
2020/7/11,08:41 PM,Snack,"Pineapple, Fresh","1.00 cup, chunks",82.5,0,0,141.91,0.13,0.05,0.83,0.35,0.18,0,57.75,29.7,0,95.7,78.87,0,0.03,1.16,21.45,0.18,0.48,19.8,1.53,13.2,179.86,0.17,1.65,0.2,21.65,2.31,0,16.25,19.34,0.2,0,0.02,0.07,0.01,0,0.03,0.04,0.02,0.02,0.03,0.04,0.04,0.02,0.03,0.89,0.03,0.01,0.03,0.04,Fruits and Fruit Juices
2020/7/12,09:44 AM,Breakfast,"Coffee, Prepared From Grounds",5.00 small or tall - each 12 fl oz,17.76,0,710.4,1765.17,0.25,1.35,3.39,4.51,0.02,0,0,35.52,0,0,0,0,0.18,1.78,35.52,0.04,0.18,53.28,0.41,53.28,870.24,0,35.52,0.36,8.35,8.35,0,0,0,0.36,0,0.27,0.02,0.04,0,0,0,0.04,0.04,0.04,0.09,0.02,0,0.05,2.13,0.02,0,0.04,0.05,Beverages
2020/7/12,09:44 AM,Breakfast,"Vega One, All In One Shake, Chocolate",0.90 scoop,162,,,,0.72,0.81,12.24,4.59,0.9,1.35,,189,,360,36,252,9.18,53.1,162,,6.3,36,,198,423,,198,,13.5,3.6,,0.9,9.9,5.4,0,0.9,2.7,0.9,0,,,,,,,,,,18,,,,,Beverages
2020/7/12,09:44 AM,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",1.50 cup,110.94,0,0,338.84,0.1,0.77,0.26,0.12,0.15,4.5,3.23,36.82,0,749.99,1.1,180.06,0.23,12.39,450,0.26,1.62,60,0.53,158.02,450,8.4,127.43,0.9,5.39,3.87,0,1.52,1.52,5.78,0,1.28,3.27,0.84,0,0.39,2.84,0.17,0.29,0.52,0.87,0.71,0.15,0.56,11.74,0.47,0.16,0.4,0.54,Beverages
2020/7/12,09:44 AM,Breakfast,"Blueberries, Fresh","0.60 cup, whole pieces",50.62,0,0,74.78,0.03,0.04,0.37,0.11,0.05,0,28.42,5.33,71.04,47.95,8.61,0,0.52,17.14,5.33,0.05,0.25,5.33,0.3,10.66,68.38,0.09,0.89,0.14,12.87,2.13,0.03,8.84,10.74,0.29,0,0.04,0.13,0.02,0,0.05,0.08,0.01,0.01,0.02,0.04,0.01,0.01,0.02,0.66,0.02,0,0.01,0.03,Fruits and Fruit Juices
2020/7/12,09:45 AM,Breakfast,"Strawberries, Fresh","0.70 cup, halves",34.05,0,0,96.77,0.03,0.02,0.41,0.13,0.05,0,7.45,25.54,27.66,12.77,62.56,0,0.3,2.34,17.02,0.05,0.44,13.83,0.41,25.54,162.79,0.43,1.06,0.15,8.17,2.13,0.04,5.2,6.04,0.32,0,0.05,0.16,0.02,0,0.07,0.1,0.01,0.01,0.02,0.04,0.03,0,0.02,0.71,0.02,0.01,0.02,0.02,Fruits and Fruit Juices
2020/7/12,09:45 AM,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
2020/7/12,09:45 AM,Breakfast,"Bacon, Pork","0.80 slice - 6"" long",29.95,0,0,1.51,0.04,0.01,0.67,0.07,0.03,0.07,0,0,0,2.37,0,1.09,0.03,0,0.7,0.01,0.06,1.98,0,24.83,31.94,3.24,107.78,0.2,0.11,0,0,0.06,0.11,2.25,6.34,0.99,0.39,0.77,0.01,0.02,0.35,0.02,0.09,0.1,0.18,0.19,0.06,0.09,2.17,0.1,0.03,0.09,0.11,Pork Products
2020/7/12,01:22 PM,Lunch,"Pear, Fresh","1.00 medium - 2 1/2"" diameter",101.46,0,0,149.45,0.02,0.05,0.29,0.09,0.05,0,24.92,12.46,78.32,44.5,7.65,0,0.37,7.83,16.02,0.15,0.32,12.46,0.09,21.36,206.48,0.18,1.78,0.18,27.11,5.62,0,17.36,21.48,0.25,0,0.15,0.17,0.04,0,0,0.17,0,0,0.02,0.03,0.03,0,0.02,0.64,0.02,0,0,0.03,Fruits and Fruit Juices
2020/7/12,01:22 PM,Lunch,"Red Bell Peppers, Cooked","1.00 large - 3"" diameter x 3 3/4""",43.96,0,0,144.24,0.09,0.05,0.75,0.12,0.37,0,2394.25,25.12,73.79,4617.37,268.47,0,2.59,8.01,14.13,0.1,0.72,15.7,0.18,28.26,260.62,0.47,3.14,0.19,10.52,1.88,0.11,6.89,8.64,0.31,0,0.02,0.17,0.05,0,0.02,0,0.03,0.03,0.05,0.08,0.06,0.02,0.05,1.44,0.05,0.02,0.03,0.06,Vegetables and Vegetable Products
2020/7/12,01:24 PM,Lunch,"Carrots, Raw",0.70 cup,44.46,0,0,95.75,0.07,0.06,1.07,0.3,0.15,0,8985.1,20.61,277.63,18117.69,6.4,0,0.93,9,35.79,0.05,0.33,13.01,0.16,37.96,347.04,0.11,74.83,0.26,10.39,3.04,1.55,5.14,7.35,0.26,0,0.01,0.11,0.03,0,0,0,0.09,0.04,0.08,0.11,0.11,0.02,0.07,1.01,0.21,0.01,0.05,0.07,Vegetables and Vegetable Products
2020/7/12,04:21 PM,Lunch,"Pizza, Homemade or Restaurant, Cheese, Thin Crust","0.25 pizza 10"" diameter",227.11,0,0,60.72,0.3,0.29,2.1,0.41,0.08,0.53,69.51,81.01,13.32,354.49,1.65,4.89,0.69,6.59,236.13,0.08,1.63,19.4,0.25,216.51,165.93,19.4,637.37,1.46,25.07,1.46,20.03,1.95,23.61,9.19,20.74,2.27,1.79,4.1,0.24,0.2,1.49,0.11,0.25,0.51,0.86,0.45,0.23,0.52,11.02,0.43,0.21,0.47,0.59,"Meals, Entrees, and Sidedishes"
2020/7/12,07:24 PM,Dinner,"Basmati Rice, Cooked in Unsalted Water",1.00 cup,181.7,0,0,112.83,0.03,0.02,0.63,0.62,0.15,0,0,4.74,0,0,0,0,0.09,0,9.48,0.11,0.66,18.96,0.75,36.34,55.3,11.85,1.58,0.77,41.48,1.06,40.42,0,40.42,0.24,0,0.1,0.02,0.08,0,0,0.02,0.06,0.07,0.14,0.26,0.11,0.07,0.17,3.18,0.11,0.04,0.11,0.19,Cereal Grains and Pasta
2020/7/12,07:24 PM,Dinner,"Shrimp, Cooked from Fresh","0.60 cup, whole pieces",86.13,0,0,64.67,0.03,0.02,2.1,0.41,0.19,1.3,0,19.14,0,43.5,0,0.56,0.35,0.09,60.9,0.33,0.44,33.93,0.03,206.18,225.32,38.89,96.57,1.43,0.17,0,0.17,0,0.17,0.24,164.43,0.04,0.07,0.05,0,0.03,0.02,0.25,0.46,0.96,1.79,1.99,0.61,0.91,20.86,0.83,0.24,0.79,0.98,Finfish and Shellfish Products
2020/7/12,07:25 PM,Dinner,"Carrots, Raw",0.50 cup,31.76,0,0,68.39,0.05,0.04,0.76,0.21,0.11,0,6417.93,14.72,198.31,12941.2,4.57,0,0.67,6.43,25.56,0.03,0.23,9.3,0.11,27.11,247.89,0.08,53.45,0.19,7.42,2.17,1.11,3.67,5.25,0.19,0,0.01,0.08,0.02,0,0,0,0.06,0.03,0.06,0.08,0.08,0.02,0.05,0.72,0.15,0.01,0.03,0.05,Vegetables and Vegetable Products
2020/7/12,07:25 PM,Dinner,"Beets, Raw or Blanched, Marinated in Oil Mixture",0.70 cup,143.24,0,0,172.98,0.06,0.08,0.66,0.31,0.13,0,39.5,215.29,0,65.18,9.68,0,0.62,12.52,31.94,0.15,1.59,45.44,0.65,79.01,642.03,4.41,701.93,0.69,18.88,5.53,0.95,13.35,13.35,6.93,0,1.57,3.93,1.09,0.03,0.46,3.32,0.04,0.04,0.09,0.13,0.11,0.03,0.09,3.18,0.09,0.04,0.08,0.11,Vegetables and Vegetable Products
2020/7/12,07:26 PM,Dinner,"Lettuce, Mixed Greens","3.00 cup, chopped",28.38,0,0,155.26,0.11,0.14,0.64,0.44,0.14,0,5575.72,177.89,6137.78,9294.29,16.7,0,0.98,319.08,78.55,0.11,1.91,42.25,0.61,51.49,479.88,0.76,48.52,0.62,5.32,3.27,0.03,1.52,2.05,0.39,0,0.01,0.19,0.06,0,0.12,0,0.02,0.05,0.12,0.17,0.14,0.03,0.11,2.51,0.1,0.02,0.07,0.12,Vegetables and Vegetable Products
2020/7/12,07:27 PM,Dinner,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",1.00 cup,73.96,0,0,225.9,0.07,0.51,0.17,0.08,0.1,3,2.15,24.55,0,499.99,0.73,120.04,0.15,8.26,300,0.17,1.08,40,0.35,105.35,300,5.6,84.95,0.6,3.59,2.58,0,1.02,1.01,3.86,0,0.85,2.18,0.56,0,0.26,1.89,0.11,0.19,0.35,0.58,0.48,0.1,0.37,7.83,0.31,0.1,0.27,0.36,Beverages
2020/7/12,07:27 PM,Dinner,"Lindt, 85% Dark Chocolate",0.50 Serving,292,,,,,,,,,,,,,,,,,,10,,2.5,,,,630,,5,,17.65,8.15,,7,9.5,23,1,,,14,0,,,,,,,,,,6.25,,,,,Sweets
2020/7/13,10:41 AM,Breakfast,"Coffee, Prepared From Grounds",5.00 small or tall - each 12 fl oz,17.76,0,710.4,1765.17,0.25,1.35,3.39,4.51,0.02,0,0,35.52,0,0,0,0,0.18,1.78,35.52,0.04,0.18,53.28,0.41,53.28,870.24,0,35.52,0.36,8.35,8.35,0,0,0,0.36,0,0.27,0.02,0.04,0,0,0,0.04,0.04,0.04,0.09,0.02,0,0.05,2.13,0.02,0,0.04,0.05,Beverages
2020/7/13,10:41 AM,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",1.50 cup,110.94,0,0,338.84,0.1,0.77,0.26,0.12,0.15,4.5,3.23,36.82,0,749.99,1.1,180.06,0.23,12.39,450,0.26,1.62,60,0.53,158.02,450,8.4,127.43,0.9,5.39,3.87,0,1.52,1.52,5.78,0,1.28,3.27,0.84,0,0.39,2.84,0.17,0.29,0.52,0.87,0.71,0.15,0.56,11.74,0.47,0.16,0.4,0.54,Beverages
2020/7/13,10:42 AM,Breakfast,"Vega One, All In One Shake, Chocolate",1.10 scoop,198,,,,0.88,0.99,14.96,5.61,1.1,1.65,,231,,440,44,308,11.22,64.9,198,,7.7,44,,242,517,,242,,16.5,4.4,,1.1,12.1,6.6,0,1.1,3.3,1.1,0,,,,,,,,,,22,,,,,Beverages
2020/7/13,10:42 AM,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
2020/7/13,11:54 AM,Lunch,"Basmati Rice, Cooked in Unsalted Water",0.75 cup,136.28,0,0,84.62,0.02,0.02,0.47,0.46,0.11,0,0,3.56,0,0,0,0,0.07,0,7.11,0.08,0.5,14.22,0.56,27.26,41.48,8.89,1.19,0.58,31.11,0.79,30.31,0,30.31,0.18,0,0.08,0.01,0.06,0,0,0.01,0.05,0.06,0.1,0.2,0.09,0.06,0.13,2.38,0.09,0.03,0.08,0.15,Cereal Grains and Pasta
2020/7/13,11:54 AM,Lunch,"Chicken Breast, Skin Removed Before Cooking",2.00 oz,98.09,0,0,36.72,0.04,0.07,7.04,0.55,0.34,0.19,0,2.27,0,16.44,0,2.83,0.15,0.17,8.5,0.03,0.6,15.31,0.01,122.47,140.05,13.83,43.66,0.7,0,0,0,0,0,2.56,48.19,0.87,0.56,0.72,0.05,0.06,0.46,0.22,0.54,0.93,1.31,1.49,0.48,0.7,17.53,0.74,0.2,0.59,0.87,Poultry Products
2020/7/13,11:55 AM,Lunch,"Beets, Raw","0.50 cup, whole pieces",29.24,0,0,59.55,0.02,0.03,0.23,0.11,0.05,0,13.6,74.12,0,22.44,3.33,0,0.03,0.14,10.88,0.05,0.54,15.64,0.22,27.2,221,0.48,53.04,0.24,6.5,1.9,0.33,4.6,4.6,0.12,0,0.02,0.04,0.02,0,0,0,0.01,0.01,0.03,0.05,0.04,0.01,0.03,1.09,0.03,0.01,0.03,0.04,Vegetables and Vegetable Products
2020/7/13,11:55 AM,Lunch,"Carrots, Raw",0.25 cup,15.88,0,0,34.2,0.03,0.02,0.38,0.11,0.05,0,3208.96,7.36,99.15,6470.6,2.29,0,0.33,3.21,12.78,0.02,0.12,4.65,0.06,13.56,123.94,0.04,26.73,0.09,3.71,1.08,0.55,1.84,2.63,0.09,0,0,0.04,0.01,0,0,0,0.03,0.02,0.03,0.04,0.04,0.01,0.02,0.36,0.07,0,0.02,0.03,Vegetables and Vegetable Products
2020/7/13,07:30 PM,Dinner,"Restaurant, family style, fried mozzarella sticks",2.00 piece,201.5,,,23.83,0.06,0.16,0.48,0.26,0.05,0.6,15.5,16.12,26.66,226.92,,4.34,0.48,14.2,207.08,0.04,0.38,13.02,0.18,197.16,66.96,11.72,533.82,1.28,15.59,1.24,12.69,1.46,14.35,11.36,22.32,2.68,3.09,4.25,0.22,0.34,2.63,0.11,0.29,0.49,0.95,0.73,0.27,0.53,9.15,0.27,0.11,0.39,0.64,Restaurant Foods
2020/7/13,07:31 PM,Dinner,"Mixed Vegetables, Green Peppers and Onions","2.00 cup, cut pieces",108.61,0,0,257.58,0.14,0.07,0.83,0.29,0.49,0,300.6,44.33,494.89,533.28,93.31,0,0.58,11.97,48.64,0.19,0.94,30.55,0.4,81.56,478.08,1.39,7.51,0.5,25.33,3.8,0.43,11.88,21.52,0.56,0,0.06,0.25,0.09,0,0.02,0,0.06,0.06,0.12,0.14,0.16,0.03,0.1,3.42,0.1,0.05,0.08,0.1,Vegetables and Vegetable Products
2020/7/13,10:42 AM,Snack,"Bagel, White, Plain or Seasoned","1.00 large - 4 1/4"" - 4 3/4"" diameter",345.84,0,0,44.29,0.74,0.45,5.91,0.53,0.09,0,0,213.53,0,0,0,0,9.77,0.26,286.89,0.17,4.68,37.99,0.71,129.69,140.17,28.17,552.82,1.09,68.62,2.1,48.95,11.04,66.52,1.73,0,0.26,0.69,0.47,0.03,0.03,0.66,0.29,0.3,0.53,0.96,0.33,0.25,0.68,13.83,0.39,0.16,0.39,0.6,Baked Products
2020/7/13,10:43 AM,Snack,"Swiss Cheese, Natural",1.00 slice (from pre-sliced package) - each 3/4 oz,82.53,0,0,7.9,0,0.06,0.01,0.07,0.01,0.64,12.81,2.1,1.68,219.87,0,0,0.13,0.29,186.9,0.01,0.03,6.93,0.01,120.54,15.12,6.3,39.27,0.92,0.3,0,0,0,0.3,6.51,19.53,1.69,0.28,3.83,0.21,0.03,0.15,0.06,0.22,0.32,0.62,0.54,0.16,0.35,5.66,0.22,0.08,0.36,0.45,Dairy and Egg Products
2020/7/13,06:35 PM,Snack,"Boom Chicka Pop, Sea Salt Popcorn, Prepopped","2.00 cup, whole pieces",72.1,0,0,0.4,0.01,0.01,0.28,0.06,0.02,0,10.68,3.72,174.05,23.53,0,0,1.23,0.3,0.94,0.03,0.38,17.3,0.13,42.97,39.49,0.65,45.01,0.37,9.34,1.74,6.53,0.1,7.6,3.45,0,0.68,2.18,0.38,0.01,0.01,2.18,0.03,0.04,0.05,0.18,0.04,0.03,0.07,1.55,0.05,0.01,0.06,0.07,Snacks
2020/7/13,07:29 PM,Snack,Hummus,3.00 tbsp,80.07,0,0,28.91,0.08,0.03,0.37,0.12,0.05,0,7.52,21.31,0.82,13.39,0.62,0,0.12,1.12,40.88,0.18,0.92,14.47,0.37,70.23,71.08,3.02,197.6,0.48,8.86,2.63,4.93,1.46,6.23,3.95,0,1.31,1.64,0.5,0.03,0.04,1.55,0.05,0.09,0.14,0.24,0.19,0.06,0.17,3.3,0.13,0.04,0.1,0.15,Legumes and Legume Products
2020/7/13,07:29 PM,Snack,"Carrots, Raw",0.60 cup,38.11,0,0,82.07,0.06,0.05,0.91,0.25,0.13,0,7701.51,17.66,237.97,15529.44,5.48,0,0.8,7.72,30.68,0.04,0.28,11.15,0.13,32.54,297.46,0.09,64.14,0.22,8.91,2.6,1.33,4.41,6.3,0.22,0,0.01,0.09,0.03,0,0,0,0.08,0.04,0.07,0.09,0.09,0.02,0.06,0.86,0.18,0.01,0.04,0.06,Vegetables and Vegetable Products
2020/7/14,09:24 AM,Breakfast,"Coffee, Prepared From Grounds",5.00 small or tall - each 12 fl oz,17.76,0,710.4,1765.17,0.25,1.35,3.39,4.51,0.02,0,0,35.52,0,0,0,0,0.18,1.78,35.52,0.04,0.18,53.28,0.41,53.28,870.24,0,35.52,0.36,8.35,8.35,0,0,0,0.36,0,0.27,0.02,0.04,0,0,0,0.04,0.04,0.04,0.09,0.02,0,0.05,2.13,0.02,0,0.04,0.05,Beverages
2020/7/14,09:24 AM,Breakfast,"Vega One, All In One Shake, Chocolate",1.00 scoop,180,,,,0.8,0.9,13.6,5.1,1,1.5,,210,,400,40,280,10.2,59,180,,7,40,,220,470,,220,,15,4,,1,11,6,0,1,3,1,0,,,,,,,,,,20,,,,,Beverages
2020/7/14,09:25 AM,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",1.50 cup,110.94,0,0,338.84,0.1,0.77,0.26,0.12,0.15,4.5,3.23,36.82,0,749.99,1.1,180.06,0.23,12.39,450,0.26,1.62,60,0.53,158.02,450,8.4,127.43,0.9,5.39,3.87,0,1.52,1.52,5.78,0,1.28,3.27,0.84,0,0.39,2.84,0.17,0.29,0.52,0.87,0.71,0.15,0.56,11.74,0.47,0.16,0.4,0.54,Beverages
2020/7/14,09:25 AM,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
2020/7/14,09:25 AM,Breakfast,"Blueberries, Fresh","0.70 cup, whole pieces",59.05,0,0,87.24,0.04,0.04,0.43,0.13,0.05,0,33.15,6.22,82.88,55.94,10.05,0,0.6,19.99,6.22,0.06,0.29,6.22,0.35,12.43,79.77,0.1,1.04,0.17,15.01,2.49,0.03,10.32,12.53,0.34,0,0.05,0.15,0.03,0,0.06,0.09,0.01,0.01,0.02,0.05,0.01,0.01,0.03,0.77,0.02,0,0.01,0.03,Fruits and Fruit Juices
2020/7/14,09:25 AM,Breakfast,"Strawberries, Fresh","0.70 cup, halves",34.05,0,0,96.77,0.03,0.02,0.41,0.13,0.05,0,7.45,25.54,27.66,12.77,62.56,0,0.3,2.34,17.02,0.05,0.44,13.83,0.41,25.54,162.79,0.43,1.06,0.15,8.17,2.13,0.04,5.2,6.04,0.32,0,0.05,0.16,0.02,0,0.07,0.1,0.01,0.01,0.02,0.04,0.03,0,0.02,0.71,0.02,0.01,0.02,0.02,Fruits and Fruit Juices
2020/7/14,09:25 AM,Breakfast,"Eggs, Cooked",1.00 medium,68.2,0,0,32.83,0.03,0.23,0.03,0.62,0.05,0.49,4.84,19.36,155.32,228.8,0,38.28,0.45,0.13,22,0.01,0.52,4.4,0.01,75.68,55.44,13.55,54.56,0.46,0.49,0,0,0.49,0.49,4.67,164.12,1.79,0.62,1.44,0,0.03,0.58,0.13,0.13,0.3,0.47,0.4,0.17,0.29,5.54,0.27,0.07,0.23,0.34,Dairy and Egg Products
2020/7/14,01:21 PM,Lunch,"Chicken Breast, Skin Removed Before Cooking",3.00 oz,147.13,0,0,55.08,0.06,0.1,10.56,0.83,0.51,0.29,0,3.4,0,24.66,0,4.25,0.23,0.26,12.76,0.04,0.9,22.96,0.01,183.7,210.07,20.75,65.49,1.05,0,0,0,0,0,3.84,72.29,1.31,0.83,1.08,0.08,0.09,0.7,0.34,0.82,1.39,1.97,2.23,0.73,1.04,26.29,1.11,0.31,0.89,1.3,Poultry Products
2020/7/14,01:21 PM,Lunch,"Cheese Ravioli, No Sauce","1.50 cup, whole pieces",404.81,0,0,150,0.5,0.69,3.6,1.19,0.16,1.11,37.11,145.33,179.19,607.28,0.11,45.79,0.58,1.21,217.98,0.12,3.36,33.01,0.43,272.53,279.2,37.15,1561.53,1.38,51.66,1.82,42.94,2.17,49.85,13.83,212.88,4.19,1.29,7.02,0.28,0.09,1.06,0.27,0.47,0.75,1.41,1.11,0.38,0.81,16.96,0.62,0.19,0.67,0.86,Cereal Grains and Pasta
2020/7/14,02:05 PM,Lunch,"Spinach, Raw","1.00 cup, cut pieces",6.9,0,0,27.42,0.02,0.06,0.22,0.02,0.06,0,1687.86,58.2,3659.54,2813.21,8.43,0,0.59,144.88,29.7,0.04,0.81,23.7,0.27,14.7,167.41,0.3,23.7,0.16,1.09,0.66,0.03,0.13,0.43,0.12,0,0,0.05,0.02,0,0.04,0,0.01,0.02,0.04,0.07,0.05,0.02,0.04,0.86,0.04,0.01,0.03,0.05,Vegetables and Vegetable Products
2020/7/14,08:27 AM,Dinner,"Brussels Sprouts, Cooked from Fresh",0.75 cup,60.19,0,0,148.64,0.18,0.13,1.01,0.42,0.3,0,777.47,100.32,2156.84,1295.78,103.66,0,0.72,234.58,60.19,0.14,2.01,33.44,0.38,93.63,530.01,2.51,35.11,0.55,11.87,4.35,0.59,2.91,7.52,0.84,0,0.06,0.43,0.17,0,0.29,0,0.03,0.1,0.17,0.19,0.19,0.04,0.12,4.26,0.15,0.05,0.06,0.2,Vegetables and Vegetable Products
2020/7/14,08:27 AM,Dinner,"Cauliflower, Cooked from Fresh","1.00 cup, cut pieces",28.52,0,0,115.32,0.05,0.06,0.51,0.63,0.21,0,8.68,54.56,35.96,14.88,54.93,0,0.09,17.11,19.84,0.02,0.4,11.16,0.16,39.68,176.09,0.74,18.6,0.21,5.1,2.85,0.2,2.58,2.24,0.56,0,0.04,0.27,0.09,0,0.21,0,0.03,0.05,0.09,0.13,0.12,0.03,0.08,2.28,0.08,0.03,0.05,0.11,Vegetables and Vegetable Products
2020/7/14,08:27 AM,Dinner,"Chicken Breast, Skin Removed Before Cooking",3.00 oz,147.13,0,0,55.08,0.06,0.1,10.56,0.83,0.51,0.29,0,3.4,0,24.66,0,4.25,0.23,0.26,12.76,0.04,0.9,22.96,0.01,183.7,210.07,20.75,65.49,1.05,0,0,0,0,0,3.84,72.29,1.31,0.83,1.08,0.08,0.09,0.7,0.34,0.82,1.39,1.97,2.23,0.73,1.04,26.29,1.11,0.31,0.89,1.3,Poultry Products
